Hotel,Lat,Lng,Hotel Rating,Address,State
Moxy Chattanooga Downtown,35.0399322,-85.3071289,4.4,"1220 King St, Chattanooga",TN
Hotel Indigo Chattanooga - Downtown,35.049377,-85.3130927,4.7,"300 W 6th St, Chattanooga",TN
The Read House,35.0459245,-85.3110477,4.4,"107 W M.L.K. Blvd, Chattanooga",TN
The Chattanoogan,35.0408091,-85.3101815,4.4,"1201 Broad St, Chattanooga",TN
The Westin Chattanooga,35.0472227,-85.3129766,4.6,"801 Pine St, Chattanooga",TN
Chattanooga Marriott Downtown,35.04345929999999,-85.3126889,4.2,"Two Carter Plaza, Chattanooga",TN
"The Edwin Hotel, Autograph Collection",35.0551896,-85.3074786,4.6,"102 Walnut St, Chattanooga",TN
Comfort Inn & Suites Lookout Mountain,35.0258493,-85.36306549999999,3.7,"3117 Parker Ln, Chattanooga",TN
Days Inn by Wyndham Chattanooga Lookout Mountain West,35.0196458,-85.3844615,3.7,"3801 Cummings Hwy, Chattanooga",TN
SpringHill Suites by Marriott Chattanooga Downtown/Cameron Harbor,35.0540778,-85.3205752,4.5,"495 Riverfront Pkwy, Chattanooga",TN
Holiday Inn & Suites Chattanooga Downtown,35.0510787,-85.3115907,4.4,"434 Chestnut St, Chattanooga",TN
Hampton Inn & Suites Chattanooga/Downtown,35.0518815,-85.31151109999999,4.4,"400 Chestnut St, Chattanooga",TN
Courtyard by Marriott Chattanooga Downtown,35.0544291,-85.3116488,4.3,"200 Chestnut St, Chattanooga",TN
Holiday Inn Express & Suites Chattanooga Downtown,35.0473708,-85.31689589999999,4.1,"440 W M.L.K. Blvd, Chattanooga",TN
Comfort Inn Downtown,35.028738,-85.313197,3.9,"2420 Williams St, Chattanooga",TN
Staybridge Suites Chattanooga Dwtn - Conv Ctnr,35.0410773,-85.3139219,4.3,"1300 Carter St, Chattanooga",TN
DoubleTree by Hilton Hotel Chattanooga Downtown,35.0512242,-85.31236369999999,4.4,"407 Chestnut St, Chattanooga",TN
Fairfield Inn & Suites by Marriott Chattanooga I-24/Lookout Mountain,35.0195707,-85.38061019999999,4.5,"40 Starview Ln, Chattanooga",TN
Treetop Hideaways,34.9741928,-85.3380847,4.8,"576 Chattanooga Valley Rd, Flintstone",TN
